frame_index,decode_ms,detect_nms_track_ms,render_ms,e2e_ms,write_ms_excluded,tracked_detections
0,7.94900010805577,4.397400072775781,1.0629999451339245,13.476000051014125,nan,3
1,0.8168000495061278,4.646899993531406,0.8446000283583999,6.319900043308735,nan,2
2,0.7925999816507101,3.9518000558018684,0.8550999918952584,5.613400018773973,nan,2
3,0.7914000889286399,4.348199930973351,0.6460000295192003,5.800300044938922,nan,1
4,0.7423999486491084,4.112700000405312,0.6837999681010842,5.552399903535843,nan,1
5,0.7631999906152487,3.7713999627158046,0.6544999778270721,5.202899919822812,nan,1
6,0.7462999783456326,4.255100036971271,0.6921000313013792,5.704900017008185,nan,1
7,0.8458000374957919,4.27729997318238,0.660700025036931,5.802300060167909,nan,1
8,0.7365000201389194,4.154499969445169,0.6508000660687685,5.5550000397488475,nan,1
9,0.8578000124543905,4.212100058794022,0.7096999324858189,5.793999996967614,nan,1
10,0.7998000364750624,3.921999945305288,0.6485000485554338,5.386300035752356,nan,1
11,0.7730000652372837,3.7625000113621354,0.6426000036299229,5.190800060518086,nan,1
12,0.759500078856945,4.034799989312887,0.6751000182703137,5.482300068251789,nan,1
13,0.771000050008297,4.087200039066374,0.6472999230027199,5.51749998703599,nan,1
14,0.7879999466240406,3.8885000394657254,0.6597000174224377,5.349099985323846,nan,1
15,0.7877000607550144,4.466800019145012,0.6847999757155776,5.949700018391013,nan,1
16,0.8118998957797885,3.934399923309684,0.6757000228390098,5.449799937196076,nan,1
17,0.7654000073671341,3.9767000125721097,0.6712999893352389,5.429400014691055,nan,1
18,0.8435000199824572,3.911099978722632,0.6452000234276056,5.427399999462068,nan,1
19,0.8108000038191676,3.8859000196680427,0.8330000564455986,5.55910007096827,nan,2
20,0.771000050008297,3.9670999394729733,1.1482000118121505,5.895999958738685,nan,2
21,0.802299939095974,3.988599986769259,0.8297000313177705,5.6359999580308795,nan,2
22,0.7965000113472342,4.161500022746623,0.8362999651581049,5.807399982586503,nan,2
23,0.8018999360501766,4.07879997510463,0.8538999827578664,5.759699968621135,nan,2
24,0.7677999092265964,4.455000045709312,1.2170999543741345,6.453499896451831,nan,4
25,0.7894999580457807,3.916500019840896,1.1993000516667962,5.915399990044534,nan,4
26,10.102600092068315,4.123099963180721,1.206299988552928,15.45599999371916,nan,4
27,0.753799919039011,4.104399937205017,1.016200054436922,5.883299978449941,nan,3
28,0.7827000226825476,3.684900002554059,0.8546999888494611,5.331499967724085,nan,2
29,0.7600000826641917,4.245599964633584,1.066500088199973,6.081200088374317,nan,3
30,0.789299956522882,3.8551000179722905,0.8154000388458371,5.469699972309172,nan,2
31,0.7780999876558781,3.9623999036848545,0.8521000854671001,5.601900047622621,nan,2
32,0.7937999907881021,3.9884999860078096,1.3201000401750207,6.112099974416196,nan,3
33,0.790499965660274,4.135099938139319,0.8837999776005745,5.819399957545102,nan,2
34,0.7706999313086271,3.9041999261826277,0.6544000934809446,5.33830001950264,nan,1
35,0.8148999186232686,4.3385999742895365,0.8638000581413507,6.026500021107495,nan,2
36,0.7962000090628862,4.526900011114776,0.8459000382572412,6.178500014357269,nan,2
37,0.7792999967932701,3.781900042667985,0.8113000076264143,5.386800039559603,nan,2
38,0.8993999799713492,3.8744000485166907,0.8332999423146248,5.637999973259866,nan,2
39,0.7576999487355351,3.7600999930873513,0.9457000996917486,5.477000027894974,nan,2
40,0.7783999899402261,3.808800014667213,0.8774000452831388,5.478200037032366,nan,2
41,0.8022000547498465,4.07429994083941,0.6623000372201204,5.553900031372905,nan,1
42,0.7800000021234155,3.960699890740216,0.7020001066848636,5.4521000711247325,nan,1
43,0.7600999670103192,4.088700050488114,0.6763000274077058,5.5342999985441566,nan,1
44,0.7826000219210982,3.777100006118417,0.6490000523626804,5.217600031755865,nan,1
45,0.7576999487355351,4.196299938485026,0.6515000713989139,5.614000023342669,nan,1
46,0.7772999815642834,3.7103999638929963,0.6871999939903617,5.183500004932284,nan,1
47,0.9035000111907721,4.152400069870055,0.6858999840915203,5.752800032496452,nan,1
48,0.7809000089764595,3.7538999458774924,0.6664999527856708,5.210899980738759,nan,1
49,0.7966000121086836,4.09810000564903,0.7661000126972795,5.682300077751279,nan,1
50,0.7927999831736088,4.403800005093217,0.6552000995725393,5.8620000490918756,nan,1
51,0.7829000242054462,3.80319997202605,0.6612000288441777,5.256199976429343,nan,1
52,0.7741000736132264,4.493599990382791,0.7221000269055367,5.9989000437781215,nan,1
53,0.8218999719247222,3.9473000215366483,0.7045000093057752,5.500199971720576,nan,1
54,0.7966000121086836,4.252099897712469,0.9180000051856041,5.975999985821545,nan,2
55,0.8157999254763126,3.904600045643747,0.6789000472053885,5.413300008513033,nan,1
56,0.8490000618621707,3.8775999564677477,0.6828999612480402,5.43889997061342,nan,1
57,0.8014999330043793,4.065300105139613,0.7732999511063099,5.652899970300496,nan,1
58,0.8046000730246305,4.036400001496077,0.6744000129401684,5.529800080694258,nan,1
59,0.7758999709039927,4.275700077414513,0.829199911095202,5.894499947316945,nan,2
60,0.7455999730154872,4.041400039568543,0.8750000270083547,5.675500025972724,nan,2
61,0.8443000260740519,4.412499954923987,0.7047000108286738,5.972099956125021,nan,1
62,0.8134999079629779,4.033299977891147,0.8771999273449183,5.751199903897941,nan,2
63,0.9174998849630356,3.9607000071555376,0.8636999409645796,5.766799906268716,nan,2
64,0.7603999692946672,3.825400024652481,0.6971999537199736,5.295399925671518,nan,1
65,0.803499948233366,3.7959000328555703,0.7448999676853418,5.356699926778674,nan,1
66,0.7547999266535044,4.265199997462332,0.8849999867379665,5.917200003750622,nan,2
67,0.7819000165909529,3.916500019840896,0.9992000414058566,5.7076000375673175,nan,3
68,0.7385000353679061,4.291699966415763,0.8249999955296516,5.8660999638959765,nan,2
69,0.7867999374866486,3.9490999188274145,1.2018000707030296,5.950800026766956,nan,4
70,0.7829000242054462,3.9805000415071845,1.1798000195994973,5.970300058834255,nan,4
71,0.7808000082150102,4.049699986353517,1.0560000082477927,5.899399984627962,nan,3
72,0.7567999418824911,3.9763000095263124,1.168800052255392,5.9148999862372875,nan,4
73,0.7685000309720635,4.351999959908426,1.078300061635673,6.212000036612153,nan,3
74,0.7746000774204731,3.838400007225573,0.9945000056177378,5.620300071313977,nan,3
75,0.7687000324949622,4.047799971885979,1.1950000189244747,6.028200034052134,nan,4
76,0.7740000728517771,4.270700039342046,0.9245999390259385,5.978900007903576,nan,2
77,0.7782999891787767,4.30699996650219,1.1696999426931143,6.264399969950318,nan,4
78,0.7850999245420098,4.190100007690489,1.055800006724894,6.0406000120565295,nan,3
79,0.7978000212460756,3.9486000314354897,1.0509999701753259,5.807399982586503,nan,3
80,0.840499997138977,4.147200030274689,1.030299928970635,6.040100008249283,nan,3
81,0.7974000182002783,4.026499926112592,1.0395999997854233,5.872700014151633,nan,3
82,0.7959000067785382,4.252500017173588,1.1468000011518598,6.208200007677078,nan,4
83,0.7812000112608075,4.280099994502962,1.1752001009881496,6.24660006724298,nan,4
84,0.7602999685332179,3.944500000216067,1.0312999365851283,5.746199982240796,nan,3
85,0.8073999779298902,4.025500034913421,0.8508999599143863,5.695899948477745,nan,2
86,0.7676000241190195,3.828300046734512,0.9651000145822763,5.5740000680089,nan,2
87,0.8228999795392156,3.95610008854419,0.8575000101700425,5.64950006082654,nan,2
88,0.7671000203117728,4.197899950668216,0.8972000796347857,5.875200033187866,nan,2
89,0.7856000447645783,4.086800036020577,0.8598000276833773,5.753900040872395,nan,2
90,0.7773999823257327,4.622899927198887,1.2255000183358788,6.63910002913326,nan,4
91,0.7699000416323543,3.835399984382093,1.1893000919371843,5.807700101286173,nan,4
92,0.7745999610051513,4.179600044153631,1.205099979415536,6.172999972477555,nan,4
93,0.7593999616801739,4.253000020980835,1.1063000420108438,6.131800008006394,nan,3
94,0.7549000438302755,3.9109999779611826,1.5503999311476946,6.229599937796593,nan,4
95,0.8604000322520733,4.4528000289574265,1.0676999809220433,6.413399940356612,nan,3
96,0.7920999778434634,4.242100054398179,1.1172998929396272,6.165999919176102,nan,3
97,0.7986999116837978,4.313300014473498,1.2250998988747597,6.3498999224975705,nan,4
98,0.7745999610051513,4.475199966691434,1.205200096592307,6.469200015999377,nan,4
99,0.7694000378251076,4.010500037111342,1.2704998953267932,6.063499953597784,nan,4
100,0.7722999434918165,4.024300025776029,1.1915999930351973,6.000799941830337,nan,4
101,0.7662000134587288,4.129900014959276,0.9999999310821295,5.906199919991195,nan,3
102,0.7694000378251076,3.9398999651893973,1.0261000134050846,5.745899979956448,nan,3
103,0.7642999989911914,4.2854000348597765,1.0357999708503485,6.094700074754655,nan,3
104,0.7552000461146235,3.6964999744668603,1.0027000680565834,5.46430004760623,nan,3
105,0.8264000061899424,3.849899978376925,1.0180999524891376,5.717799998819828,nan,3
106,0.7615999784320593,3.9212999399751425,1.0645000729709864,5.7625999907031655,nan,3
107,0.8312000427395105,4.126899992115796,1.0510999709367752,6.023199995979667,nan,3
108,0.7742999587208033,4.442700068466365,1.0043999645859003,6.231699953787029,nan,3
109,0.7718999404460192,3.7412000820040703,0.8385999826714396,5.361599964089692,nan,2
110,0.7691000355407596,4.119400051422417,1.034199958667159,5.934400018304586,nan,3
111,0.7835000287741423,3.7295001093298197,0.8761999197304249,5.399200017563999,nan,2
112,0.7558000506833196,3.7971000419929624,0.8285000221803784,5.390700069256127,nan,2
113,0.8722000056877732,4.103199928067625,0.6618000334128737,5.658900015987456,nan,1
114,0.7941999938338995,3.977400017902255,0.6662999512627721,5.459100008010864,nan,1
115,0.7584000704810023,4.190200008451939,0.8521999698132277,5.809499998576939,nan,2
116,0.81769993994385,3.807300003245473,0.6664999527856708,5.312999943271279,nan,1
117,0.7844000356271863,4.24919999204576,0.8320000488311052,5.875100032426417,nan,2
118,0.7778999861329794,3.7465000059455633,0.6687999702990055,5.2022000309079885,nan,1
119,0.8142000297084451,3.9120999863371253,0.8104000007733703,5.552500020712614,nan,2
120,0.7624001009389758,3.7933000130578876,0.8138000266626477,5.378300091251731,nan,2
121,0.76299998909235,3.101700101979077,0.4335999255999923,4.307099967263639,nan,0
122,0.8054999634623528,4.100500023923814,0.838999985717237,5.754100042395294,nan,1
123,0.8490999462082982,4.133300040848553,0.7004999788478017,5.696299951523542,nan,1
124,0.8222999749705195,4.121499950997531,0.682600075379014,5.640299990773201,nan,1
125,0.7649000035598874,3.980400040745735,0.6699999794363976,5.4284000070765615,nan,1
126,0.7496000034734607,4.201300092972815,0.8932999335229397,5.857300013303757,nan,2
127,0.7737999549135566,4.007500014267862,0.6829999620094895,5.477799917571247,nan,1
128,0.7479999912902713,4.393900046125054,0.8632999379187822,6.017399951815605,nan,2
129,0.7785999914631248,3.739899955689907,1.2516999850049615,5.783299915492535,nan,2
130,0.8215000852942467,4.008200019598007,0.8823999669402838,5.726900068111718,nan,2
131,0.7776999846100807,3.993900027126074,1.042999909259379,5.823899991810322,nan,3
132,0.7601999677717686,3.9814000483602285,1.08299998100847,5.834899959154427,nan,3
133,0.7845000363886356,4.466099897399545,1.0448000393807888,6.3056000508368015,nan,3
134,0.808300101198256,3.7341000279411674,0.8498999522998929,5.418800050392747,nan,2
135,0.7597000803798437,4.143199999816716,1.0934999445453286,6.0128000332042575,nan,3
136,0.7560999365523458,3.745800000615418,1.0517999762669206,5.568899912759662,nan,3
137,0.8041999535635114,3.9147998904809356,0.9898000862449408,5.734700011089444,nan,2
138,0.7933999877423048,4.087000037543476,0.8911999175325036,5.7884999550879,nan,2
139,0.8496999507769942,4.017000086605549,1.2360999826341867,6.129799992777407,nan,4
140,0.7588000735267997,4.742500022985041,1.257500029169023,6.777500035241246,nan,4
141,0.8449000306427479,3.9968000492081046,0.8783999364823103,5.733500001952052,nan,2
142,0.7799000013619661,3.9898999966681004,0.816799933090806,5.601199925877154,nan,2
143,0.8532999781891704,5.055599962361157,0.9163999930024147,6.856299936771393,nan,2
144,0.7862999336794019,4.116800031624734,0.8785000536590815,5.794800003059208,nan,2
145,0.8149000350385904,4.212399944663048,1.0825000936165452,6.122500053606927,nan,2
146,0.7842000341042876,4.535499960184097,0.9036000119522214,6.237099994905293,nan,2
147,0.7552000461146235,4.07310004811734,0.8969999616965652,5.735200014896691,nan,2
148,0.8138000266626477,4.590999917127192,0.9203000226989388,6.335300044156611,nan,2
149,0.8301000343635678,3.9738001069054008,0.8798999479040504,5.705500021576881,nan,2
150,0.7931999862194061,3.9020999101921916,1.155200065113604,5.86440006736666,nan,3
151,0.7585999555885792,3.8035999750718474,0.6928999209776521,5.268899956718087,nan,1
152,0.8097999962046742,3.9489000337198377,0.6763000274077058,5.462400033138692,nan,1
153,0.8169000502675772,3.7940999027341604,0.6876999977976084,5.313699948601425,nan,1
154,0.7709999335929751,3.8086000131443143,0.6631000433117151,5.256999982520938,nan,1
155,0.7626001024618745,3.9918000111356378,0.6677999626845121,5.435700062662363,nan,1
156,0.7930999854579568,3.8696000119671226,0.8379000937566161,5.515600088983774,nan,2
